ID,First Author,Year, Location,Input Body Part,Gesture,Sensing_PANEL_Sensors,Sensing_PANEL_No Additional Sensing,Interaction_PANEL_Number of Selected Gestures,Interaction_PANEL_Resolution,Interaction_PANEL_Hands-Free,Interaction_PANEL_Eyes-Free,Interaction_PANEL_Possible on One Ear,Interaction_PANEL_Adaptation of the Interaction Detection Algorithm to the Individual User,Interaction_PANEL_Discreetness of Interaction Techniques,Interaction_PANEL_Social Acceptability of Interaction Techniques,Interaction_PANEL_Accuracy of Interaction Recognition,Interaction_PANEL_Robustness of Interaction Detection,Study_PANEL_Elicitation Study,Study_PANEL_Usability Evaluations,Study_PANEL_Cognitive Ease Evaluations,Study_PANEL_Discreetness of Interactions Evaluations,Study_PANEL_Social Acceptability of Interactions Evaluations,Study_PANEL_Accuracy of Interactions Evaluations,Study_PANEL_Alternative Interaction Validity Evaluations,Study_PANEL_Evaluation of Different Conditions,Study_PANEL_Evaluation of Different Settings,Device_PANEL_Earphone Type,Device_PANEL_Development Stage,Device_PANEL_Real-Time Processing,Device_PANEL_On-Device Processing,Applications_PANEL_Intended Applications,Keywords,Abstract,Study Link
66,Khanna et al.,2021,Mouth,Speech Apparatus,Silent Speech (Phonemes),Accelerometer,Yes,9,Semantic,Yes,Yes,No,No,High,High,Medium (N=6),Medium (N=6),No,No,No,No,No,Yes (N=6),No,"Head Movement, Music, Sitting, Speaking, Yawn",Lab,Headphone,Research Prototype,Yes,No,"Accessibility, Device Control, Health, Privacy","Accelerometer Sensing, Unvoiced Sound Recognition, Wearable Devices","This paper explores a new wearable system, called JawSense, that enables a novel form of human-computer interaction based on unvoiced jaw movement tracking. JawSense allows its user to interact with computing machine just by moving their jaw. We study the neurological and anatomical structure of the human cheek and jaw to design JawSense so that jaw movement can be reliably captured under the strong impact of noises from human artifacts. In particular, JawSense senses the muscle deformation and vibration caused by unvoiced speaking to decode the unvoiced phonemes spoken by the user. We model the relationship between jaw movements and phonemes to develop a classification algorithm to recognize nine phonemes. Through a prototyping implementation and evaluation with six subjects, we show that JawSense can be used as a form of hands-free and privacy-preserving human-computer interaction with 92% phoneme classification rate.",https://dl.acm.org/doi/10.1145/3446382.3448363
67,Laporte et al.,2021,Head Gestures and Pointing,Head,"Pitch, Yaw","Accelerometer, Gyroscope",Yes,2,Semantic,Yes,Yes,Yes,No,Medium,Medium,Low (N=10),N/A,No,No,No,No,No,Yes (N=10),No,Sitting,Lab,Earbud,Commercial,No,No,"Data Annotation, Social Interaction","Datasets, Earable Computing, Head Gestures Recognition, Memory Recall","Verbal and non-verbal activities convey insightful information about people’s affect, empathy, and engagement during social interactions. In this paper, we investigate the usage of inertial sensors to recognize verbal (e.g., speaking), non-verbal (e.g., head nodding, shaking) and other activities (e.g., eating, no movement). We implement an end-to-end deep neural network to distinguish among these activities. We then explore the generalizability of the approach in three scenarios: (1) using new data to detect a known activity from a known user, (2) detecting a novel activity of a known user and (3) detecting the activity of an unknown user. Results show that using accelerometer and gyroscope sensors, the model achieves a balanced accuracy of 55% when tested on data from a new user, 41% on a new activity of an existing user, and 80% on new data of a known activity from an existing user. The results are between 7-47 percentage points higher than baseline classifiers.",https://dl.acm.org/doi/10.1145/3460418.3479322
68,Ma et al.,2021,Hand Gestures and Location,Hand,Tap (Face),Microphone,Yes,5,Semantic,No,Yes,No,Yes,Medium,Medium,High (N=29),High (N=4),No,No,No,No,No,Yes (N=29),No,"Music, Sitting","Lab, Outdoors",Earbud,Research Prototype,Yes,No,"Activity Recognition, Health, Motion Tracking",N/A,"Smart earbuds are recognized as a new wearable platform for personal-scale human motion sensing. However, due to the interference from head movement or background noise, commonly-used modalities (e.g. accelerometer and microphone) fail to reliably detect both intense and light motions. To obviate this, we propose OESense, an acoustic-based in-ear system for general human motion sensing. The core idea behind OESense is the joint use of the occlusion effect (i.e., the enhancement of low-frequency components of bone-conducted sounds in an occluded ear canal) and inward-facing microphone, which naturally boosts the sensing signal and suppresses external interference. We prototype OESense as an earbud and evaluate its performance on three representative applications, i.e., step counting, activity recognition, and hand-to-face gesture interaction. With data collected from 31 subjects, we show that OESense achieves 99.3% step counting recall, 98.3% recognition recall for 5 activities, and 97.0% recall for five tapping gestures on human face, respectively. We also demonstrate that OESense is compatible with earbuds’ fundamental functionalities (e.g. music playback and phone calls). In terms of energy, OESense consumes 746 mW during data recording and recognition and it has a response latency of 40.85 ms for gesture recognition. Our analysis indicates such overhead is acceptable and OESense is potential to be integrated into future earbuds.",https://dl.acm.org/doi/10.1145/3458864.3467680
69,Nasser et al.,2021,Actuation,N/A,Thermal (Actuaction),N/A,N/A,26,"Coarse, Semantic",Yes,Yes,Yes (Performance Loss),N/A,High,High,N/A,N/A,No,No,No,No,No,No,No,Sitting,Lab,Custom Device,Research Prototype,N/A,N/A,"Accessibility, Communication, Gaming, Health, Navigation","Earable, Earhook, Spatial Thermal Pattern, Thermotactile","Haptic feedbacks are widely adopted in mobile and wearable devices to convey various types of notifications to the users. This paper investigates the design and the evaluation of thermal haptic feedback on an earable form factor with multiple thermoelectric (i.e. Peltier) modules. We propose ThermEarhook, a wearable device that can provide hot and cold stimuli at multiple points on the auricular skin area. To investigate users’ thermal perception on the auricular area, we develop a series of ThermEarhook prototypes with 3, 4, and 5 Peltier modules. While most existing research utilized the constant level of haptic signal for different users, our pilot study with ThermEarhook shows that the auricular thermohaptic threshold varies across the feedback locations and the users. With the user-customized thermohaptic signals around the ear, our first study with 12 participants reports on the selection of the auricular configuration with four TEC modules on each side, considering the users’ identification accuracy (averagely 99.3%) and preference. We then conduct three follow-up studies and a total of 36 participants to further evaluate users’ perception of spatial thermal patterns with ThermEarhook, and finalize a set of multi-points auricular thermal patterns that can be reliably perceived by the users with the average accuracy of 85.3%. Lastly, we discuss the user-proposed potential applications of the thermal haptic feedback with ThermEarhook.",https://doi.org/10.1145/3462244.3479922
70,Peng,2021,Actuation,N/A,Deformation (Actuation),N/A,N/A,1,Semantic,Yes,Yes,Yes,N/A,Medium,Medium,N/A,N/A,No,No,No,No,No,No,No,Sitting,Daily Life,Custom Device,Research Prototype,N/A,N/A,Social Interaction,"Biodata Interfacing, Playful Expression","Human-Computer Integration is an extension of the HumanComputer Interaction paradigm that explores systems in which the boundary between user and computer is blurred. We build on this and explore its intersection with the felds of biodata and playful expression by presenting “Wigglears”, a wearable system that will wiggle the wearer’s ears based on skin conductance, aiming to explore playful solutions towards integrated biodata-based selfexpression. Through an autobiographical study, we demonstrate the system’s ability to fuel social dialogue, amplify positive emotions, and triggering refocus. We intend for our system to be a novel solution to expressing emotions within social interactions, and hope to ofer insights towards the social implications of biodatabased integration as a social cue, to help further the research within Human-Computer Integration.",https://doi.org/10.1145/3411763.3451846
71,Röddiger et al.,2021,Ear and Earable,Tensor Tympani,Contract,Pressure Sensor,Yes,3,Semantic,Yes,Yes,Yes,No,High,High,High (N=16),Medium (N=16),No,Yes (N=8),Yes (N=16),No,No,Yes (N=16),No,"Music, Sitting",Lab,Earbud,Research Prototype,Yes,No,"Music Player, Phone Calls","Discreet Interaction, Earables, Hearables, In-Ear Barometry, Subtle Gestures, Tensor Tympani Muscle","We explore how discreet input can be provided using the tensor tympani - a small muscle in the middle ear that some people can voluntarily contract to induce a dull rumbling sound. We investigate the prevalence and ability to control the muscle through an online questionnaire (N=192) in which 43.2% of respondents reported the ability to “ear rumble”. Data collected from participants (N=16) shows how in-ear barometry can be used to detect voluntary tensor tympani contraction in the sealed ear canal. This data was used to train a classifer based on three simple ear rumble “gestures” which achieved 95% accuracy. Finally, we evaluate the use of ear rumbling for interaction, grounded in three manual, dual-task application scenarios (N=8). This highlights the applicability of EarRumble as a low-efort and discreet eyes- and hands-free interaction technique that users found “magical” and “almost telepathic”.",https://dl.acm.org/doi/10.1145/3411764.3445205
72,Sun et al.,2021,Mouth,Teeth,Click,"Gyroscope, Microphone",Yes,13,Semantic,Yes,Yes,Yes (Performance Loss),No,High,High,Medium (N=11),N/A,No,No,No,No,No,Yes (N=11),No,Sitting,Lab,Custom Device,Research Prototype,Yes,No,"AR/VR, Accessibility, Device Control, Music Player, Phone Calls","Acoustic Sensing, Earpiece, Eyes-Free Input, Hands-Free Input, Motion Sensing, Teeth Gestures","Teeth gestures become an alternative input modality for different situations and accessibility purposes. In this paper, we present TeethTap, a novel eyes-free and hands-free input technique, which can recognize up to 13 discrete teeth tapping gestures. TeethTap adopts a wearable 3D printed earpiece with an IMU sensor and a contact microphone behind both ears, which works in tandem to detect jaw movement and sound data, respectively. TeethTap uses a support vector machine to classify gestures from noise by fusing acoustic and motion data, and implements K-Nearest-Neighbor (KNN) with a Dynamic Time Warping (DTW) distance measurement using motion data for gesture classification. A user study with 11 participants demonstrated that TeethTap could recognize 13 gestures with a real-time classification accuracy of 90.9% in a laboratory environment. We further uncovered the accuracy differences on different teeth gestures when having sensors on single vs. both sides. Moreover, we explored the activation gesture under real-world environments, including eating, speaking, walking and jumping. Based on our findings, we further discussed potential applications and practical challenges of integrating TeethTap into future devices.",https://doi.org/10.1145/3397481.3450645
73,Verma et al.,2021,Face,Facial Expression,"Facial Gesture (Eye), Facial Gesture (Mouth), Facial Gesture (Nose), Facial Gesture (Other)","Accelerometer, Gyroscope",Yes,32,Semantic,Yes,Visual Attention,Yes (Performance Loss),Yes,Low,Low,Medium (N=12),High (N=3),No,No,No,No,No,Yes (N=12),No,"Eating, Noise, Sitting, Speaking, Walking","Controlled Room, Train",Earbud,Commercial,No,No,"AR/VR, Accessibility, Device Control, Device Input, Emotion Recognition, Feedback System, Video Conference","Earable Computing, Facial Expressions, Facs, IMU Sensing","Continuous and unobtrusive monitoring of facial expressions holds tremendous potential to enable compelling applications in a multitude of domains ranging from healthcare and education to interactive systems. Traditional, vision-based facial expression recognition (FER) methods, however, are vulnerable to external factors like occlusion and lighting, while also raising privacy concerns coupled with the impractical requirement of positioning the camera in front of the user at all times. To bridge this gap, we propose ExpressEar, a novel FER system that repurposes commercial earables augmented with inertial sensors to capture fine-grained facial muscle movements. Following the Facial Action Coding System (FACS), which encodes every possible expression in terms of constituent facial movements called Action Units (AUs), ExpressEar identifies facial expressions at the atomic level. We conducted a user study (N=12) to evaluate the performance of our approach and found that ExpressEar can detect and distinguish between 32 Facial AUs (including 2 variants of asymmetric AUs), with an average accuracy of 89.9% for any given user. We further quantify the performance across different mobile scenarios in presence of additional face-related activities. Our results demonstrate ExpressEar’s applicability in the real world and open up research opportunities to advance its practical adoption.",https://doi.org/10.1145/3478085
74,Wu et al.,2021,"Eye-Tracking, Face, Mouth","Eye, Facial Expression, Speech Apparatus","Ekman 7, Horizontal Gaze, Silent Speech (Words), Vertical Gaze","EMG, EOG",Yes,21,Semantic,Yes,No,Yes,No,Low,Low,N/A,N/A,No,Yes (N=16),Yes (N=16),No,No,No,Yes (N=24),"Head Movement, Mask, Sitting, Time",Lab,Custom Device,Research Prototype,No,No,"AR/VR, Accessibility, Device Control, Driving, Emotion Recognition, Feedback System, Silent Speech","3D Facial Reconstruction, Mobile Computing, Singleear Biosensing, Wearable Sensing","Over the last decade, facial landmark tracking and 3D reconstruction have gained considerable attention due to their numerous applications such as human-computer interactions, facial expression analysis, and emotion recognition, etc. Traditional approaches require users to be confined to a particular location and face a camera under constrained recording conditions (e.g., without occlusions and under good lighting conditions). This highly restricted setting prevents them from being deployed in many application scenarios involving human motions. In this paper, we propose the first single-earpiece lightweight biosensing system, BioFace3D, that can unobtrusively, continuously, and reliably sense the entire facial movements, track 2D facial landmarks, and further render 3D facial animations. Our single-earpiece biosensing system takes advantage of the cross-modal transfer learning model to transfer the knowledge embodied in a high-grade visual facial landmark detection model to the low-grade biosignal domain. After training, our BioFace-3D can directly perform continuous 3D facial reconstruction from the biosignals, without any visual input. Without requiring a camera positioned in front of the user, this paradigm shift from visual sensing to biosensing would introduce new opportunities in many emerging mobile and IoT applications. Extensive experiments involving 16 participants under various settings demonstrate that BioFace-3D can accurately track 53 major facial landmarks with only 1.85 mm average error and 3.38% normalized mean error, which is comparable with most state-of-the-art camerabased solutions. The rendered 3D facial animations, which are in consistency with the real human facial movements, also validate the system’s capability in continuous 3D facial reconstruction.",https://doi.org/10.1145/3447993.3483252
75,Alkiek et al.,2022,Hand Gestures and Location,Hand,"Approach (Mid-Air), Recede (Mid-Air), Slide (Mid-Air)",Bluetooth,Yes,8,Semantic,No,Yes,Yes,No,Low,Low,High (N=1),High (N=1),No,No,No,No,No,Yes (N=1),No,"Distance, Orientation, Sitting, Standing","Living Room, Office",Earbud,Research Prototype,Yes,No,"Device Control, Music Player, Phone Calls","Earables, Gesture Recognition, Hci; Sensing","Earables have been increasingly gaining attention from consumers and manufacturers alike due to their small footprint, ease of use, and the added accessibility they bring. However, the limited interface of these devices, usually being a single button or force-sensor, inhibits their potential. Earables can provide a much richer experience by extending the ways in which users can interact with them. In this paper, we present EarGest, a novel earable-based hand gesture recognition system that does not require calibration or training, and works with commercially available BLE-enabled earphones and devices. Our proposed system is unique in its ability to leverage Bluetooth to detect hand motion near the ear to recognize gestures. By harnessing information from BLE connections between the wireless earphones and a host device, we accurately detect and classify different hand gestures performed by users, while also determining discrete levels of hand speed. EarGest operates without interfering with the regular functionality of the earphones and introduces minimal energy overhead on the host device. We implement a prototype of the system using eSense, a multi-sensory earable platform, and evaluate it in different scenarios and settings. Results show that our system can detect and classify seven near-ear hand gestures with an accuracy up to 98.5%, as well as identify hand motion speed with 96% accuracy.",https://ieeexplore.ieee.org/abstract/document/9918622
76,Bi & Liu,2022,Head Gestures and Pointing,Head,"Pitch, Roll, Yaw",Accelerometer,Yes,12,Semantic,Yes,Yes,No,Yes,Medium,High,Medium (N=30),High,No,No,No,No,No,Yes (N=30),No,"Ground Material, Sitting, Slope, Speed, Walking",Lab,Earbud,Commercial,No,No,"Health, Safety","Earphones, Head Gesture, Internet of Healthcare Things (IoHT), Metalearning","With the popularity of personal computing devices, people often keep long-term head immobility in front of screens, resulting in the emergence of “phubbers” and “office workers.” The early warning solutions in the Internet of Healthcare Things (IoHT) have brought hope to protect users’ health and safety. However, most existing works cannot recognize the different head gestures during walking, which is also a common cause of text neck and traffic accidents. In addition, they also need a large amount of data to update the model to adapt to the new environment, which reduces the practicality of the model. To solve these problems, we propose a system, CSEar, based on builtin accelerometers of off-the-shelf wireless earphones, which can recognize 12 kinds of head gestures both in resting and walking states. First, an innovative algorithm is designed to detect head gesture signals, especially for the signals mixed with gait. Then, we propose the MetaSensing, a head gesture recognition model that can improve the recognition ability with few samples compared with the existing metalearning algorithms. Finally, the experimental results prove the effectiveness and robustness of the CSEar.",https://ieeexplore.ieee.org/document/9815053
77,Bi et al.,2022,Ear and Earable,Hand,Tap (Earable),Accelerometer,Yes,1,Semantic,No,Yes,Yes,No,Medium,High,N/A,N/A,No,No,No,No,No,No,Yes (N=20),"Sitting, Standing","Lab, Train",Earbud,Commercial,No,No,Authentification,"Accelerometer, Earphone, Tap Gesture, User Authentication","The rapid development of the information-centric wireless sensor network (ICWSN) has solved the challenges of information transmission and processing caused by the accelerated growth of wearable devices and the wide deployment of the Internet of Things (IoT) recently. The privacy security is also a growing problem. The existing works use earphones, covert, and user-friendly wearable devices, for user authentication. However, some of the earphone-based authentication solutions need to customize special earphones, which are not universal. Other solutions use microphones and speakers of earphones for authentication, which are susceptible to changes in the auricle’s internal environment, resulting in a decline in performance. To solve this problem, a new authentication solution based on the existing commercial earphones is proposed to authenticate a user by tapping on the earphone rhythmically. This rhythmic tap behavior causes a change of the signal waveform of the built-in accelerometer in the earphone. Based on this, we design a pipeline to authenticate the user’s identity. We first design an event detection algorithm to segment the tap signal accurately. Then, we use the global features calculated based on the event detection algorithm and local features extracted from the convolutional neural network (CNN) for building an authentication model using the Naive Bayes (NB) classifier. Finally, 20 users are recruited to evaluate the experiment and the recognition accuracy reaches 98%. Moreover, we extend the experiment to prove that it has a good performance against the different attacks and is robust in different scenarios.",https://ieeexplore.ieee.org/document/9367286
78,Choi et al.,2022,Face,Facial Expression,Ekman 7,"Accelerometer, PPG",Yes,7,Semantic,Yes,Visual Attention,Yes,No,Low,Low,Medium (N=20),Medium (N=5),No,Yes (N=11),No,No,No,Yes (N=20),No,"Hand Motion, Head Movement, Mask, Sitting, Standing, Walking, Wearing Styles",Lab,Custom Device,Research Prototype,No,No,"Accessibility, Customer Analytics, Device Control","Blood Vessel Deformation, Ear Canal, Facial Expression, PPG, Photoplethysmogram","Recognition of facial expressions has been widely explored to represent people’s emotional states. Existing facial expression recognition systems primarily rely on external cameras which make it less accessible and efficient in many real-life scenarios to monitor an individual’s facial expression in a convenient and unobtrusive manner. To this end, we propose PPGface, a ubiquitous, easy-to-use, user-friendly facial expression recognition platform that leverages earable devices with built-in PPG sensor. PPGface understands the facial expressions through the dynamic PPG patterns resulting from facial muscle movements. With the aid of the accelerometer sensor, PPGface can detect and recognize the user’s seven universal facial expressions and relevant body posture unobtrusively. We conducted an user study (N=20) using multimodal ResNet to evaluate the performance of PPGface, and showed that PPGface can detect different facial expressions with 93.5 accuracy and 0.93 f1-score. In addition, to explore the robustness and usability of our proposed platform, we conducted several comprehensive experiments under real-world settings. Overall results of this work validate a great potential to be employed in future commodity earable devices.",https://doi.org/10.1145/3534597
79,Futami et al,2022,Face,Facial Expression,"Facial Gesture (Eye), Facial Gesture (Mouth)",Proximity Sensor,Yes,8,Semantic,Yes,Visual Attention,Yes,No,Low,Low,High (N=10),N/A,No,No,No,No,No,Yes (N=10),No,Sitting,Lab,Custom Device,Research Prototype,No,No,"Device Input, Music Player","Ear Accessories, Earable, Facial Gesture Recognition, Hands-Free Input Interface, Infrared Distance Sensor, Photo Reflector, Skin Movement","Simple hands-free input methods using ear accessories have been proposed to broaden the range of scenarios in which information devices can be operated without hands. Although many previous studies use canal-type earphones, few studies focused on the following two points: (1) A method applicable to ear accessories other than canal-type earphones. (2) A method enabling various ear accessories with different styles to have the same hands-free input function. To realize these two points, this study proposes a method to recognize the user’s facial gesture using an infrared distance sensor attached to the ear accessory. The proposed method detects skin movement around the ear and face, which differs for each facial expression gesture. We created a prototype system for three ear accessories for the root of the ear, earlobe, and tragus. The evaluation results for nine gestures and 10 subjects showed that the F-value of each device was 0.95 or more, and the F-value of the pattern combining multiple devices was 0.99 or more, which showed the feasibility of the proposed method. Although many ear accessories could not interact with information devices, our findings enable various ear accessories with different styles to have eye-free and hands-free input ability based on facial gestures.",https://doi.org/10.3390/electronics11091480
80,Jin et al.,2022,"Head Gestures and Pointing, Mouth","Head, Speech Apparatus","Pitch, Silent Speech (Sentences), Silent Speech (Words), Yaw","Accelerometer, Microphone, Speaker",Yes,59,Semantic,Yes,Yes,No,Yes,High,High,N/A,N/A,No,No,No,No,No,No,Yes (N=12),"Head Movement, Mask, Noise, Sitting, Standing, Walking, Wearing Styles",Lab,Earbud,Research Prototype,Yes,No,"Device Control, Privacy, Silent Speech","Acoustic Sensing, Ear Canal Deformation, Earphone, Silent Speech","Intelligent speech interfaces have been developing vastly to support the growing demands for convenient control and interaction with wearable/earable and portable devices. To avoid privacy leakage during speech interactions and strengthen the resistance to ambient noise, silent speech interfaces have been widely explored to enable people’s interaction with mobile/wearable devices without audible sounds. However, most existing silent speech solutions require either restricted background illuminations or hand involvement to hold device or perform gestures. In this study, we propose a novel earphonebased, hand-free silent speech interaction approach, named EarCommand. Our technique discovers the relationship between the deformation of the ear canal and the movements of the articulator and takes advantage of this link to recognize different silent speech commands. Our system can achieve a WER (word error rate) of 10.02% for word-level recognition and 12.33% for sentence-level recognition, when tested in human subjects with 32 word-level commands and 25 sentence-level commands, which indicates the effectiveness of inferring silent speech commands. Moreover, EarCommand shows high reliability and robustness in a variety of configuration settings and environmental conditions. It is anticipated that EarCommand can serve as an efficient, intelligent speech interface for hand-free operation, which could significantly improve the quality and convenience of interactions.",https://doi.org/10.1145/3534613
81,Li et al.,2022,Face,Facial Expression,"Facial Gesture (Eye), Facial Gesture (Mouth), Smile","Microphone, Speaker",Yes,9,Semantic,Yes,Visual Attention,No,Yes,Low,Medium,N/A,N/A,No,Yes (N=16),No,No,No,No,Yes (N=12),"Noise, Sitting, Speaking, Walking, Wearing Styles","Lab, Outdoors",Custom Device,Research Prototype,No,No,Data Annotation,"Acoustic Sensing, Deep Learning, Facial Expression Reconstruction, Low-Power","This paper presents EarIO, an AI-powered acoustic sensing technology that allows an earable (e.g., earphone) to continuously track facial expressions using two pairs of microphone and speaker (one on each side), which are widely available in commodity earphones. It emits acoustic signals from a speaker on an earable towards the face. Depending on facial expressions, the muscles, tissues, and skin around the ear would deform differently, resulting in unique echo profiles in the reflected signals captured by an on-device microphone. These received acoustic signals are processed and learned by a customized deep learning pipeline to continuously infer the full facial expressions represented by 52 parameters captured using a TruthDepth camera. Compared to similar technologies, it has significantly lower power consumption, as it can sample at 86 Hz with a power signature of 154 mW. A user study with 16 participants under three different scenarios, showed that EarIO can reliably estimate the detailed facial movements when the participants were sitting, walking or after remounting the device. Based on the encouraging results, we further discuss the potential opportunities and challenges on applying EarIO on future ear-mounted wearables.",https://doi.org/10.1145/3534621
82,Song et al.,2022,Face,Facial Expression,Ekman 7,"Microphone, Speaker",Yes,6,Semantic,Yes,Visual Attention,No,No,Low,Low,Low (N=5),High (N=5),No,No,No,No,No,Yes (N=5),Yes (N=5),"Device, Movie, Music, Sitting, Skin Condition, Speaking, Walking","Lab, Outdoors","Earbud, Headphone",Commercial,No,No,"AR/VR, Customer Analytics, Device Control","Acoustic Sensing, Face Skin Deformation, Headphone, Human Facial Expressions, Knowledge Distillation","Facial expressions are important indicators of user needs that can be used in many interactive computing applications to adapt the system behaviors and settings. Current computing approaches to recognizing human facial expressions, however, either rely on continuous camera recordings that are energy consuming, or require custom sensing hardware that are expensive and difficult to use on commodity systems. In this paper, we present FaceListener, a new sensing system that recognizes human facial expressions by only using commodity headphones. The basic idea of FaceListener is to transform the commodity headphone into an acoustic sensing device, which captures the face skin deformations caused by facial muscle movements with different facial expressions. To ensure the recognition accuracy, FaceListener leverages the knowledge distillation technique to learn the subtle correlation between face skin deformation and the acoustic signal changes. Experiment results over multiple human beings demonstrate that FaceListener can accurately recognize more than 80% of different facial expressions. FaceListener is highly energy efficient, and can well adapt to different headphone models, host systems and user activities.",https://ieeexplore.ieee.org/document/9825944/
83,Rateau et al.,2022,"Ear and Earable, Hand Gestures and Location",N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes (N=20),No,No,No,Yes (N=50),No,No,Sitting,Remote Setting,Earbud,Commercial,N/A,N/A,"Communication, Device Control, Device Input, Music Player, Phone Calls","Earbuds, Elicitation Study, Smartwatch, Wearables","Due to the proliferation of smart wearables, it is now the case that designers can explore novel ways that devices can be used in combination by end-users. In this paper, we explore the gestural input enabled by the combination of smart earbuds coupled with a proximal smartwatch. We identify a consensus set of gestures and a taxonomy of the types of gestures participants create through an elicitation study. In a follow-on study conducted on Amazon’s Mechanical Turk, we explore the social acceptability of gestures enabled by watch+earbud gesture capture. While elicited gestures continue to be simple, discrete, in-context actions, we find that elicited input is frequently abstract, varies in size and duration, and is split almost equally between on-body, proximal, and more distant actions. Together, our results provide guidelines for on-body, near-ear, and in-air input using earbuds and a smartwatch to support gesture capture.",https://dl.acm.org/doi/10.1145/3567710
84,Srivastava et al.,2022,Mouth,Speech Apparatus,Silent Speech (Phonemes),"Accelerometer, Gyroscope",Yes,100,Semantic,Yes,Yes,Yes,No,High,High,High (N=20),High (N=20),No,Yes (N=20),No,No,No,Yes (N=20),No,"Head Movement, Music, Noise, Walking","Bus, Lab",Custom Device,Research Prototype,No,No,"AR/VR, Device Control, Privacy, Silent Speech","IMU Sensing, Signal Processing, Unvoiced Speech","In this paper, we present MuteIt, an ear-worn system for recognizing unvoiced human commands. MuteIt presents an intuitive alternative to voice-based interactions that can be unreliable in noisy environments, disruptive to those around us, and compromise our privacy. We propose a twin-IMU set up to track the user’s jaw motion and cancel motion artifacts caused by head and body movements. MuteIt processes jaw motion during word articulation to break each word signal into its constituent syllables, and further each syllable into phonemes (vowels, visemes, and plosives). Recognizing unvoiced commands by only tracking jaw motion is challenging. As a secondary articulator, jaw motion is not distinctive enough for unvoiced speech recognition. MuteIt combines IMU data with the anatomy of jaw movement as well as principles from linguistics, to model the task of word recognition as an estimation problem. Rather than employing machine learning to train a word classifier, we reconstruct each word as a sequence of phonemes using a bi-directional particle filter, enabling the system to be easily scaled to a large set of words. We validate MuteIt for 20 subjects with diverse speech accents to recognize 100 common command words. MuteIt achieves a mean word recognition accuracy of 94.8% in noise-free conditions. When compared with common voice assistants, MuteIt outperforms them in noisy acoustic environments, achieving higher than 90% recognition accuracy. Even in the presence of motion artifacts, such as head movement, walking, and riding in a moving vehicle, MuteIt achieves mean word recognition accuracy of 91% over all scenarios.",https://doi.org/10.1145/3550281
85,Wang et al.,2022,Head Gestures and Pointing,Head,"Pitch, Yaw",Microphone,No,2,Fine,Yes,Visual Attention,No,No,Medium,High,N/A,N/A,No,No,No,No,No,No,Yes (N=12),Sitting,Lab,Headphone,Research Prototype,Yes,No,"Activity Recognition, Device Control, Device Input, Motion Tracking","Acoustic Ranging, Earphone, Head Orientation, Head Pose Estimation","Face orientation can often indicate users’ intended interaction target. In this paper, we propose FaceOri, a novel face tracking technique based on acoustic ranging using earphones. FaceOri can leverage the speaker on a commodity device to emit an ultrasonic chirp, which is picked up by the set of microphones on the user’s earphone, and then processed to calculate the distance from each microphone to the device. These measurements are used to derive the user’s face orientation and distance with respect to the device. We conduct a ground truth comparison and user study to evaluate FaceOri’s performance. The results show that the system can determine whether the user orients to the device at a 93.5% accuracy within a 1.5 meters range. Furthermore, FaceOri can continuously track user’s head orientation with a median absolute error of 10.9 mm in the distance, 3.7◦ in yaw, and 5.8◦ in pitch. FaceOri can allow for convenient hands-free control of devices and produce more intelligent context-aware interactions.",https://dl.acm.org/doi/10.1145/3491102.3517698
86,Wang et al.,2022,Mouth,Teeth,"Click, Slide",Microphone,Yes,10,Semantic,Yes,Yes,No,No,High,High,N/A,N/A,No,Yes (N=25),No,No,No,No,Yes (N=25),"Sitting, Standing, Walking","Car, Lab, Living Room, Outdoors, Supermarket",Earbud,Research Prototype,No,No,"AR/VR, Authentification","Acoustic Sensing, Biometrics, Ear Canal, Earable Authentication, Tooth, Wearable","Earables (ear wearables) are rapidly emerging as a new platform encompassing a diverse range of personal applications. The traditional authentication methods hence become less applicable and inconvenient for earables due to their limited input interface. Nevertheless, earables often feature rich around-the-head sensing capability that can be leveraged to capture new types of biometrics. In this work, we propose ToothSonic that leverages the toothprint-induced sonic effect produced by a user performing teeth gestures for earable authentication. In particular, we design representative teeth gestures that can produce effective sonic waves carrying the information of the toothprint. To reliably capture the acoustic toothprint, it leverages the occlusion effect of the ear canal and the inward-facing microphone of the earables. It then extracts multi-level acoustic features to reflect the intrinsic toothprint information for authentication. The key advantages of ToothSonic are that it is suitable for earables and is resistant to various spoofing attacks as the acoustic toothprint is captured via the user’s private teeth-ear channel that modulates and encrypts the sonic waves. Our experiment studies with 25 participants show that ToothSonic achieves up to 95% accuracy with only one of the users’ tooth gestures.",https://doi.org/10.1145/3534606
