,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Main Author,Year,Location,Filter,Input Body Part,Gesture,Sensors,No Additional Sensing,Number of Selected Gestures,Resolution,Hands- Free,Eyes- Free,Possible on One Ear,Adaptation of the Interaction Detection Algorithm to the Individual User,Discreetness of Interaction Techniques,Social Acceptability of Interaction Techniques,Accuracy of Interaction Recognition,Robustness of Interaction Detection,Elicitation Study,Usability Evaluations,Cognitive Ease Evaluations,Discreetness of Interactions Evaluations,Social Acceptability of Interactions Evaluations,Accuracy of Interactions Evaluation,Alternative Interaction Validity Evaluations,Evaluation of Different Conditions,Evaluations of Different Settings,Earphone Type,Development Stage,Real-Time Processing,On Device Processing,Motivations (Notes),Motivations,Intended Applications,Keywords,Abstract,DB ID,Citation,Study Link,DONE,Discreetness of Interaction Techniques - MK,Social Acceptability of Interaction Techniques - MK,Elemental Task,Degrees of Freedom,Resolution - Alt,Spatial,No. of proposed Semantic Gestures,Discrete,Continuous,Active Feedback,Theoretical Grounding of Interaction Techniques,Usability,"Device 
Appearance","Cognitive 
Ease",Multi-Gesture Detection,Composite Evaluative Score
[229],Fan et al.,2021,Ear and Earable,In,"Hand, Wearable State","Slide (Earable), Tap (Earable)",Pressure Sensor,Yes,2,Semantic,No,Yes,No,No,Medium,High,High (N=1),Medium (N=1),No,No,No,No,No,Yes (N=1),No,"Music, Sitting",Lab,Custom Device,Research Prototype,No,No,bringing intelligence to headphones.; We envision HeadFi can serve as a vital supplementary solution to existing smart headphone design by directly transforming large amounts of existing “dumb” headphones into intelligent ones.,,"Music Player, Device Control","Earable Computing, Wearable Devices, User Identification, Heartrate Monitoring, Touch Gesture Control, Voice Communication","Headphones continue to become more intelligent as new functions (e.g., touch-based gesture control) appear. These functions usually rely on auxiliary sensors (e.g., accelerometer and gyroscope) that are available in smart headphones. However, for those headphones that do not have such sensors, supporting these functions becomes a daunting task. This paper presents HeadFi, a new design paradigm for bringing intelligence to headphones. Instead of adding auxiliary sensors into headphones, HeadFi turns the pair of drivers that are readily available inside all headphones into a versatile sensor to enable new applications spanning across mobile health, user-interface, and context-awareness. HeadFi works as a plug-in peripheral connecting the headphones and the pairing device (e.g., a smartphone). The simplicity (can be as simple as only two resistors) and small form factor of this design lend itself to be embedded into the pairing device as an integrated circuit. We envision HeadFi can serve as a vital supplementary solution to existing smart headphone design by directly transforming large amounts of existing “dumb” headphones into intelligent ones. We prototype HeadFi on PCB and conduct extensive experiments with 53 volunteers using 54 pairs of non-smart headphones under the institutional review board (IRB) protocols. The results show that HeadFi can achieve 97.2%–99.5% accuracy on user identification, 96.8%–99.2% accuracy on heart rate monitoring, and 97.7%–99.3% accuracy on gesture recognition.",63,,https://dl.acm.org/doi/10.1145/3447993.3448624,DONE,,,"Selection, Path",1,X,relative,2,Yes,No,X,Not Present,Not Indicated,Medium (Derived),Not Indicated,Present,38%
[247],Ferlini et al.,2021,Head Gestures and Pointing,Enabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,
[258],Gashi et al.,2021,"Head Gestures and Pointing, Face",In,"Head, Facial Expression","Pitch, Yaw, Smile, Facial Gesture (Mouth)","Accelerometer, Gyroscope",Yes,4,Semantic,Yes,Yes,Yes,No,Low,Medium,Low (N=21),N/A,No,No,No,No,No,Yes (N=21),No,Sitting,Lab,Earbud,Commercial,No,No,"Head gestures and facial expressions – like, e.g., nodding or smiling – are important indicators of the quality of human interactions in physical meetings as well as in computer-mediated settings. Computer systems able to recognize such behavioral cues can support and improve human interactions.",,"Social Interaction, Feedback System, Activity Recognition, Video Conference","Earable Computing, Transfer learning, Head Gestures Detection, Facial Expressions Recognition, Hierarchical Classification","Head gestures and facial expressions – like, e.g., nodding or smiling – are important indicators of the quality of human interactions in physical meetings as well as in computer-mediated settings. Computer systems able to recognize such behavioral cues can support and improve human interactions. Several researchers have thus tackled the problem of automatically recognizing head gestures and facial expressions, mainly leveraging video data. In this paper, we instead consider inertial signals collected from unobtrusive, earmounted devices. We focus on typical activities performed during social interactions – head shaking, nodding, smiling, talking and yawning – and propose a hierarchical classification approach to discriminate them from each other. Further, we investigate whether the transfer of knowledge learned from publicly available datasets leads to further performance improvements. Our results show that the combined use of our hierarchical approach and transfer learning allows the classifier to discriminate head and mouth activities with an F1 score of 84.79, smile, talk and yawn with an F1 score of 45.42, and nodding and head shaking with an F1 score of 88.24, outperforming shallow classifiers by 2-9 percentage points.",65,,https://dl.acm.org/doi/10.1145/3462244.3479921,DONE,,,"Path, Orientation, Selection",2,X,relative,4,Yes,No,X,Not Present,Not Indicated,High (Derived),Not Indicated,Present,23%
[217],Hashem et al.,2021,Head Gestures and Pointing,In,Head,Yaw,Bluetooth,No,1,Coarse,Yes,Visual Attention,No,No,Medium,High,High (N=1),Low (N=1),No,No,No,No,No,Yes (N=1),No,"Distance, Standing",Lab,Earbud,Commercial,Yes,No,"By harnessing this information, it is possible to lock on that device in a multi-device environment and allow only it to respond to user gestures without ambiguity.; Head orientation detection in a multi-device environment can help indicate which device a user is interacting with, and thus provide a seamless way of mapping user gestures to the intended device without riddling other devices with unintended gestures.; In this paper, we present Look&Lock: a ubiquitous and accurate head orientation tracking system for multi-device environments. Look&Lock leverages Bluetooth Low Energy (BLE) capabilities of earables and their interaction with other BLE-enabled devices to track head orientation and map commands to the intended device.; With the rate of technological advancements, we anticipate that earables will be more compact and present future opportunities to be leveraged beyond audio use.",,Device Control,"IoT, BLE, smart earphones, wearables, earables, earable computing, head orientation","We present Look&Lock: a novel ubiquitous system that utilizes BLE communication between smart appliances in the environment and earables worn by the user to track head orientation and determine which device she is looking at. By harnessing this information, it is possible to lock on that device in a multi-device environment and allow only it to respond to user gestures without ambiguity. Our system leverages commercial off-the-shelf earables to provide accurate training-free head orientation tracking that is robust in different room settings. We implement a prototype using Android phones and eSense, a commercially available multi-sensory personal earable device. Our evaluation shows that Look&Lock can correctly identify devices inside a user’s field of view with accuracy up to 100% and is robust to different configurations and room settings.",66,,https://dl.acm.org/doi/10.1145/3446382.3448653,DONE,,,"Selection, Orientation",1,coarse (4),absolute,1,No,Yes,Coupled,Partly Present,Not Indicated,High (Derived),Not Indicated,Not Indicated,31%
[622],Islam et al.,2021,Head Gestures and Pointing,In,Head,"Pitch, Yaw","Accelerometer, Gyroscope",No,2,Semantic,Yes,Yes,N/A,No,Medium,Medium,High (N=6),N/A,No,No,No,No,No,Yes (N=6),No,Sitting,Lab,Earbud,Commercial,No,No,"Detecting head- and mouth-related human activities of elderly people are very important for nurse care centers. They need to track different types of activities of elderly people like swallowing, eating, etc., to measure the health status of elderly people. In this regard, earable devices open up interesting possibilities for monitoring personal-scale behavioral activities.; The objectives of this paper are as follows: collecting accelerometer and gyroscope data from eSense device through Bluetooth and mobile application; detecting headand mouth-related human activities alongside some other regular activities; using traditional machine learning and deep learning classifiers to detect activities and compare performances",,"Accessibility, Health, Activity Recognition","Health care, Earables, Wearable; Activity recognition, eSense","Detecting head- and mouth-related human activities of elderly people are very important for nurse care centers. They need to track different types of activities of elderly people like swallowing, eating, etc., to measure the health status of elderly people. In this regard, earable devices open up interesting possibilities for monitoring personal-scale behavioral activities. Here, we introduce activity recognition based on an earable device called ‘eSense’. It has multiple sensors that can be used for human activity recognition. ‘eSense’ has a 6-axis inertial measurement unit with a microphone and Bluetooth. In this paper, we propose an activity recognition framework using eSense device. We collect accelerometer and gyroscope sensor data from eSense device to detect head- and mouth-related activities along with other normal human activities. We evaluated the classification performance of the classifier using both accelerometer and gyroscope data. For this work, we develop a smartphone application for data collection from the eSense. Several statistical features are exploited to recognize head- and mouth-related activities (e.g., head nodding, head shaking, eating, and speaking), and regular activities (e.g., stay, walk, and speaking while walking). We explored different types of machine learning approaches like Convolutional Neural Network (CNN), Random Forest (RnF), K-Nearest Neighbor (KNN), Linear Discriminant Analysis (LDA), Support Vector Machine (SVM), etc., for classifying activities. We have achieved satisfactory results. Our results show that using both accelerometer and gyroscope sensors can improve performance. We achieve accuracy of 80.45% by LDA, 93.34% by SVM, 91.92% by RnF, 91.64% by KNN, and 93.76% by CNN while we exploit both accelerometer and gyroscope sensor data together. The results demonstrate the prospect of eSense device for detecting human activities in various healthcare monitoring system.",67,,https://link.springer.com/chapter/10.1007/978-981-15-8944-7_11,DONE,,,"Selection, Path, Orientation",2,X,relative,2,Yes,No,X,Partly Present,Not Indicated,High (Derived),Not Indicated,Present,26%
[226],Jin et al.,2021,Hand Gestures and Location,In,Hand,"Sign Language (Words), Sign Language (Sentences), Close (Mid-Air), Tap (Mid-Air)","Microphone, Speaker",Yes,74,Semantic,No,Yes,No,No,Low,High,Medium (N=8),High (N=2),No,No,No,No,No,Yes (N=8),No,"Standing, Distance, Orientation","Office, University Building, Outdoors",Headphone,Research Prototype,Yes,No,"We propose SonicASL, a real-time gesture recognition system that can recognize sign language gestures on the fly, leveraging front-facing microphones and speakers added to commodity earphones worn by someone facing the person making the gestures.; Many Deaf people live successful and productive lives using sign languages. However, it is still quite challenging for the Deaf group to communicate with the hearing population conveniently.",,Accessibility,"Acoustic sensing, sign language gesture recognition, earphones","We propose SonicASL, a real-time gesture recognition system that can recognize sign language gestures on the fly, leveraging front-facing microphones and speakers added to commodity earphones worn by someone facing the person making the gestures. In a user study (N=8), we evaluate the recognition performance of various sign language gestures at both the word and sentence levels. Given 42 frequently used individual words and 30 meaningful sentences, SonicASL can achieve an accuracy of 93.8% and 90.6% for word-level and sentence-level recognition, respectively. The proposed system is tested in two real-world scenarios: indoor (apartment, office, and corridor) and outdoor (sidewalk) environments with pedestrians walking nearby. The results show that our system can provide users with an effective gesture recognition tool with high reliability against environmental factors such as ambient noises and nearby pedestrians.",68,,https://dl.acm.org/doi/10.1145/3463519,DONE,,,"Selection, Path, Text, Orientation",6,X,relative,74,Yes,No,Coupled,Partly Present,Not Indicated,Medium (Derived),Not Indicated,Present,47%
[618],Kakaraparthi et al.,2021,Hand Gestures and Location,Enabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,
[213],Khanna et al.,2021,Mouth,In,Speech Apparatus,Silent Speech (Phonemes),Accelerometer,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,Privacy,,,70,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[224],Laporte et al.,2021,Head Gestures and Pointing,In,Head,"Pitch, Yaw","Accelerometer, Gyroscope",Yes,2,Semantic,Yes,Yes,Yes,No,Medium,Medium,Low(N=10),N/A,No,No,No,No,No,Yes (N=10),No,Sitting,Lab,Earbud,Commercial,No,No,"Verbal and non-verbal activities convey insightful information about people’s affect, empathy, and engagement during social interactions. In this paper, we investigate the usage of inertial sensors to recognize verbal (e.g., speaking), non-verbal (e.g., head nodding, shaking) and other activities (e.g., eating, no movement).; Our motivation for detecting verbal and non-verbal activities is rooted in our work on building human memory augmentation systems. Using earable computing, we attempt to recognize different types of human activities, in particular head gestures, with the purpose of detecting when a social interaction is taking place. This is because the presence of others and our interactions with them play important roles in our memories, both during the formation of memory [32] and at retrieval time [6]: moments of social interactions might be easier to remember (formation time), and remembering a particular interaction might also help to remind us of particular details (retrieval time)",,"Social Interaction, Data Annotation","Datasets, Earable Computing, Head Gestures Recognition, Memory Recall","Verbal and non-verbal activities convey insightful information about people’s affect, empathy, and engagement during social interactions. In this paper, we investigate the usage of inertial sensors to recognize verbal (e.g., speaking), non-verbal (e.g., head nodding, shaking) and other activities (e.g., eating, no movement). We implement an end-to-end deep neural network to distinguish among these activities. We then explore the generalizability of the approach in three scenarios: (1) using new data to detect a known activity from a known user, (2) detecting a novel activity of a known user and (3) detecting the activity of an unknown user. Results show that using accelerometer and gyroscope sensors, the model achieves a balanced accuracy of 55% when tested on data from a new user, 41% on a new activity of an existing user, and 80% on new data of a known activity from an existing user. The results are between 7-47 percentage points higher than baseline classifiers.",71,,https://dl.acm.org/doi/10.1145/3460418.3479322,DONE,,,"Path, Selection, Orientation",2,X,relative,2,Yes,No,X,Partly Present,Not Indicated,High (Derived),Not Indicated,Present,26%
[626],Ma et al.,2021,Hand Gestures and Location,In,Hand,Tap (Face),Microphone,Yes,5,Semantic,No,Yes,No,Yes,Medium,Medium,High (N=29),High (N=4),No,No,No,No,No,Yes (N=29),No,"Sitting, Music","Lab, Outdoors",Earbud,Research Prototype,Yes,No,"However, due to the interference from head movement or background noise, commonly-used modalities (e.g. accelerometer and microphone) fail to reliably detect both intense and light motions.; Thus, in the interest of form factor and cost, we explore other alternatives for human motion sensing on earables. To achieve reliable detection of both intense and light human motions, we present OESense, a novel acoustic-based in-ear human motion sensing system.; With this work, we aim at developing a general earable sensing system for human motion detection.",,"Health, Activity Recognition, Motion Tracking",N/A,"Smart earbuds are recognized as a new wearable platform for personal-scale human motion sensing. However, due to the interference from head movement or background noise, commonly-used modalities (e.g. accelerometer and microphone) fail to reliably detect both intense and light motions. To obviate this, we propose OESense, an acoustic-based in-ear system for general human motion sensing. The core idea behind OESense is the joint use of the occlusion effect (i.e., the enhancement of low-frequency components of bone-conducted sounds in an occluded ear canal) and inward-facing microphone, which naturally boosts the sensing signal and suppresses external interference. We prototype OESense as an earbud and evaluate its performance on three representative applications, i.e., step counting, activity recognition, and hand-to-face gesture interaction. With data collected from 31 subjects, we show that OESense achieves 99.3% step counting recall, 98.3% recognition recall for 5 activities, and 97.0% recall for five tapping gestures on human face, respectively. We also demonstrate that OESense is compatible with earbuds’ fundamental functionalities (e.g. music playback and phone calls). In terms of energy, OESense consumes 746 mW during data recording and recognition and it has a response latency of 40.85 ms for gesture recognition. Our analysis indicates such overhead is acceptable and OESense is potential to be integrated into future earbuds.",72,,https://dl.acm.org/doi/10.1145/3458864.3467680,DONE,,,"Selection, Position",X,X,X,12,Yes,No,X,Partly Present (N=29),Not Indicated,Low (Derived),Not Indicated,Present,52%
[259],Nasser et al.,2021,Actuation,Enabling,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,
[628],Peng,2021,Actuation,Enabling,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,
[227],Röddiger et al.,2021,Ear and Earable,In,Tensor Tympani,Contract,Pressure Sensor,Yes,3,Semantic,Yes,Yes,Yes,No,High,High,High (N=16),Medium (N=16),No,Yes (N=8),Yes (N=16),No,No,Yes (N=16),No,"Sitting, Music",Lab,Earbud,Research Prototype,Yes,No,Input techniques using “subtle” or “motionless” input gestures are desirable in mobile contexts because they take into consideration the social context of mobile device usage; Input techniques with little to no movement avoid the inconvenience of techniques requiring large physical efort and are more socially acceptable to spectators,,"Music Player, Phone Calls","tensor tympani muscle, discreet interaction, subtle gestures, earables, hearables, in-ear barometry","We explore how discreet input can be provided using the tensor tympani - a small muscle in the middle ear that some people can voluntarily contract to induce a dull rumbling sound. We investigate the prevalence and ability to control the muscle through an online questionnaire (N=192) in which 43.2% of respondents reported the ability to “ear rumble”. Data collected from participants (N=16) shows how in-ear barometry can be used to detect voluntary tensor tympani contraction in the sealed ear canal. This data was used to train a classifer based on three simple ear rumble “gestures” which achieved 95% accuracy. Finally, we evaluate the use of ear rumbling for interaction, grounded in three manual, dual-task application scenarios (N=8). This highlights the applicability of EarRumble as a low-efort and discreet eyes- and hands-free interaction technique that users found “magical” and “almost telepathic”.",75,,https://dl.acm.org/doi/10.1145/3411764.3445205,DONE,,,Selection,X,X,X,4,Yes,No,X,Present (N=83),High (N=8),Low (Derived),High (N=99),Present,73%
[221],Sun et al.,2021,Mouth,In,Teeth,Click,"Accelerometer, Gyroscope",,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,Music Player,,,76,,,,,,Selection,3,coarse (13),absolute,,Yes,No,,,,,,,
[231],Verma et al.,2021,Face,In,Facial Expression,"Facial Gesture (Eye), Facial Gesture (Nose), Facial Gesture (Mouth), Facial Gesture (Other)","Accelerometer, Gyroscope",,,,Yes,Visual Attention,,,,,,,,,,,,,,,,,,,,,,"AR/VR, Feedback System, Emotion Recognition, Video Conference",,,77,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[616],Wu et al.,2021,Face,Enabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,
[608],Alkiek et al.,2022,Hand Gestures and Location,In,Hand,"Approach (Mid-Air), Slide (Mid-Air), Recede (Mid-Air)",Bluetooth,Yes,8,Semantic,No,Yes,Yes,No,Low,Low,High (N=1),High (N=1),No,No,No,No,No,Yes (N=1),No,"Distance, Orientation, Sitting, Standing","Office, Living Room",Earbud,Research Prototype,Yes,No,"However, the limited interface of these devices, usually being a single button or force-sensor, inhibits their potential. Earables can provide a much richer experience by extending the ways in which users can interact with them. In this paper, we present EarGest, a novel earable-based hand gesture recognition system that does not require calibration or training, and works with commercially available BLE-enabled earphones and devices.; Our proposed system is unique in its ability to leverage Bluetooth to detect hand motion near the ear to recognize gestures. By harnessing information from BLE connections between the wireless earphones and a host device, we accurately detect and classify different hand gestures performed by users, while also determining discrete levels of hand speed.",,"Device Control, Music Player, Phone Calls","Earables, gesture recognition, HCI; sensing","Earables have been increasingly gaining attention from consumers and manufacturers alike due to their small footprint, ease of use, and the added accessibility they bring. However, the limited interface of these devices, usually being a single button or force-sensor, inhibits their potential. Earables can provide a much richer experience by extending the ways in which users can interact with them. In this paper, we present EarGest, a novel earable-based hand gesture recognition system that does not require calibration or training, and works with commercially available BLE-enabled earphones and devices. Our proposed system is unique in its ability to leverage Bluetooth to detect hand motion near the ear to recognize gestures. By harnessing information from BLE connections between the wireless earphones and a host device, we accurately detect and classify different hand gestures performed by users, while also determining discrete levels of hand speed. EarGest operates without interfering with the regular functionality of the earphones and introduces minimal energy overhead on the host device. We implement a prototype of the system using eSense, a multi-sensory earable platform, and evaluate it in different scenarios and settings. Results show that our system can detect and classify seven near-ear hand gestures with an accuracy up to 98.5%, as well as identify hand motion speed with 96% accuracy.",79,,https://ieeexplore.ieee.org/abstract/document/9918622,DONE,,,"Selection, Path",3,X,relative,8,Yes,No,X,Not Present,Not Indicated,High (Derived),Not Indicated,Present,48%
[614],Bi & Liu,2022,Head Gestures and Pointing,In,Head,"Pitch, Roll, Yaw",Accelerometer,Yes,12,Semantic,Yes,Yes,No,Yes,Medium,High,Medium (N=30,High,No,No,No,No,No,Yes (N=30),No,"Walking, Slope, Sitting, Ground Material, Speed",Lab,Earbud,Commercial,No,No,"However, head immobility for a long time has led to the emergence of “phubbers” and “office workers,” which sounds an alarm for people’s health, such as neck pain [1]. Immersing yourself in interaction with mobile phones during walking is also an important cause of traffic accidents [2]. Fortunately, the development of the Internet of Healthcare Things (IoHT) has brought new hope",,"Health, Safety","Earphones, head gesture, Internet of Healthcare Things (IoHT), metalearning","With the popularity of personal computing devices, people often keep long-term head immobility in front of screens, resulting in the emergence of “phubbers” and “office workers.” The early warning solutions in the Internet of Healthcare Things (IoHT) have brought hope to protect users’ health and safety. However, most existing works cannot recognize the different head gestures during walking, which is also a common cause of text neck and traffic accidents. In addition, they also need a large amount of data to update the model to adapt to the new environment, which reduces the practicality of the model. To solve these problems, we propose a system, CSEar, based on builtin accelerometers of off-the-shelf wireless earphones, which can recognize 12 kinds of head gestures both in resting and walking states. First, an innovative algorithm is designed to detect head gesture signals, especially for the signals mixed with gait. Then, we propose the MetaSensing, a head gesture recognition model that can improve the recognition ability with few samples compared with the existing metalearning algorithms. Finally, the experimental results prove the effectiveness and robustness of the CSEar.",80,,https://ieeexplore.ieee.org/document/9815053,DONE,,,"Selection, Path, Orientation",3,X,relative,12,Yes,No,X,Partly Present,Not Indicated,High (Derived),Not Indicated,Present,43%
[452],Bi et al.,2022,Ear and Earable,In,Hand,Tap (Earable),Accelerometer,Yes,1,Semantic,No,Yes,Yes,No,Medium,High,N/A,N/A,No,No,No,No,No,No,Yes (N=20),"Sitting, Standing","Lab, Train",Earbud,Commercial,No,No,"However, some of the earphone-based authentication solutions need to customize special earphones, which are not universal.; To solve this problem, a new authentication solution based on the existing commercial earphones is proposed to authenticate a user by tapping on the earphone rhythmically.; Therefore, the security and privacy problem in ICWSN is becoming increasingly serious",,Authentification,"Accelerometer, earphone, tap gesture, user authentication","The rapid development of the information-centric wireless sensor network (ICWSN) has solved the challenges of information transmission and processing caused by the accelerated growth of wearable devices and the wide deployment of the Internet of Things (IoT) recently. The privacy security is also a growing problem. The existing works use earphones, covert, and user-friendly wearable devices, for user authentication. However, some of the earphone-based authentication solutions need to customize special earphones, which are not universal. Other solutions use microphones and speakers of earphones for authentication, which are susceptible to changes in the auricle’s internal environment, resulting in a decline in performance. To solve this problem, a new authentication solution based on the existing commercial earphones is proposed to authenticate a user by tapping on the earphone rhythmically. This rhythmic tap behavior causes a change of the signal waveform of the built-in accelerometer in the earphone. Based on this, we design a pipeline to authenticate the user’s identity. We first design an event detection algorithm to segment the tap signal accurately. Then, we use the global features calculated based on the event detection algorithm and local features extracted from the convolutional neural network (CNN) for building an authentication model using the Naive Bayes (NB) classifier. Finally, 20 users are recruited to evaluate the experiment and the recognition accuracy reaches 98%. Moreover, we extend the experiment to prove that it has a good performance against the different attacks and is robust in different scenarios.",81,,https://ieeexplore.ieee.org/document/9367286,DONE,,,X,X,X,X,1,Yes,No,X,Present (N=3),Not Indicated,High (Derived),Not Indicated,Not Indicated,25%
[345],Choi et al.,2022,Face,In,"Facial Expression, Head",Ekman 7,"Accelerometer, PPG",,,,Yes,Visual Attention,,,,,,,,,,,,,,,,,,,,,,Customer Analytics,,,82,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[627],Futami et al,2022,Face,In,Facial Expression,"Facial Gesture (Mouth), Facial Gesture (Eye)",Proximity Sensor,,,,Yes,Visual Attention,,,,,,,,,,,,,,,,,,,,,,Device Input,,,83,,,,,,Selection,X,X,relative,,Yes,No,,,,,,,
[315],Jin et al.,2022,Mouth,In,Speech Apparatus,"Silent Speech (Words), Silent Speech (Sentences)","Microphone, Speaker, Accelerometer, Gyroscope",,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,"Device Control, Silent Speech",,,84,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[278],Li et al.,2022,Face,In,Facial Expression,"Facial Gesture (Mouth), Facial Gesture (Eye), Smile","Microphone, Speaker",,,,Yes,Visual Attention,,,,,,,,,,,,,,,,,,,,,,Data Annotation,,,85,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[512],Song et al.,2022,Face,In,Facial Expression,Ekman 7,"Microphone, Speaker",,,,Yes,Visual Attention,,,,,,,,,,,,,,,,,,,,,,"AR/VR, Device Control, Customer Analytics",,,86,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[307],Srivastava et al.,2022,Mouth,In,Speech Apparatus,Silent Speech (Phonemes),"Accelerometer, Gyroscope",,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,"Silent Speech, AR/VR, Privacy, Device Control",,,87,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[309],Wang et al.,2022,Head Gestures and Pointing,In,Head,"Pitch, Yaw",Microphone,No,2,Fine,Yes,Visual Attention,No,No,Medium,High,N/A,N/A,No,No,No,No,No,No,Yes (N=12),Sitting,Lab,Headphone,Research Prototype,Yes,No,"Face orientation can often indicate users’ intended interaction target. In this paper, we propose FaceOri, a novel face tracking technique based on acoustic ranging using earphones.; allow for convenient hands-free control of devices and produce more intelligent context-aware interactions.; Enabling a device to detect this intention precisely and naturally can simplify user interface fow, enable hands-free interaction, and adapt interfaces to the context of use. For example, smartphones can detect users’ proximity and face orientation toward the device to turn on the screen and allow them to read their notifcations in a hand-free manner. Additionally, a system that can provide an accurate classifcation of whether a user’s head is oriented toward a specifc device. This device-specifc binary attention detector can be used to drive context-aware experiences.",,"Device Input, Activity Recognition, Device Control, Motion Tracking","Acoustic ranging, head orientation, earphone, head pose estimation","Face orientation can often indicate users’ intended interaction target. In this paper, we propose FaceOri, a novel face tracking technique based on acoustic ranging using earphones. FaceOri can leverage the speaker on a commodity device to emit an ultrasonic chirp, which is picked up by the set of microphones on the user’s earphone, and then processed to calculate the distance from each microphone to the device. These measurements are used to derive the user’s face orientation and distance with respect to the device. We conduct a ground truth comparison and user study to evaluate FaceOri’s performance. The results show that the system can determine whether the user orients to the device at a 93.5% accuracy within a 1.5 meters range. Furthermore, FaceOri can continuously track user’s head orientation with a median absolute error of 10.9 mm in the distance, 3.7◦ in yaw, and 5.8◦ in pitch. FaceOri can allow for convenient hands-free control of devices and produce more intelligent context-aware interactions.",88,,https://dl.acm.org/doi/10.1145/3491102.3517698,DONE,,,"Selection, Orientation, Path",2,fine,absolute,2,No,Yes,Coupled,Present,Not Indicated,Low (Derived),Not Indicated,Present,28%
[306],Wang et al.,2022,Mouth,In,Teeth,"Click, Slide",Microphone,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,Authentification,,,89,,,,,,"Selection, Position, Path",X,X,absolute,,Yes,No,,,,,,,
[388],Yang et al.,2022,Actuation,Enabling,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,
[284],Alkiek et al.,2023,Ear and Earable,In,Hand,"Tap (Ear), Slide (Ear), Pull (Ear), Press (Ear), Pinch (Ear)","Accelerometer, Gyroscope",Yes,7,Semantic,No,Yes,Yes,Yes,Medium,Medium,High (N=4),N/A,No,No,No,No,No,Yes (N=4),No,Sitting,Lab,Earbud,Commercial,Yes,No,"However, modern-day earables usually have a limited interface, inhibiting their potential as an accessible medium of input.; Augmenting earables with a hand-to-ear gesture interface would allow them to overcome this setback and provide a more convenient and richer experience for users.","Expanding Interaction Methods, Enhancing Functionalities of Current Devices, Reducing Interaction Effort, Improving Usability and Ergonomics","Music Player, Phone Calls, Device Control, Device Input","Earables, gesture recognition, inertial sensors, natural interface, on-body interaction","Earables have been gaining popularity over the past few years for their ease of use and convenience over wired earphones. However, modern-day earables usually have a limited interface, inhibiting their potential as an accessible medium of input. To this end, we present EarBender: an ear-based real-time system that bridges the gap between earables and on-body interaction, providing a more diverse and natural form of interaction with devices. EarBender enables touch-based hand-to-ear gestures on mobile devices by leveraging inertial sensors in commercially available earable devices. Our proposed system detects the slight deformation in a user’s ear resulting from different ear-based actions including swiping and tapping and classifies the action performed. EarBender is designed to be energy-efficient, easy to deploy and robust to different users, requiring little to no calibration. We implement a prototype of EarBender using eSense, a multi-sensory earable platform, and evaluate it in different scenarios and parameter settings. Results show that the system can detect the occurrence of gestures with a 96.8% accuracy and classify seven different hand-to-ear gestures with an accuracy up to 97.4% maintained across four subjects.",91,,https://dl.acm.org/doi/10.1145/3594739.3610671,DONE,,,"Selection, Path, Position",1,X,relative,7,Yes,No,X,Not Present,Not Indicated,High (Derived),Not Indicated,Present,42%
[344],Chugh et al.,2023,"Head Gestures and Pointing, Face",Enabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,
[342],Jin et al.,2023,Mouth,In,"Head, Facial Expression",Silent Speech (Morphemes),"Accelerometer, Gyroscope",,,,Partly,Visual Attention,,,,,,,,,,,,,,,,,,,,,,Accessibility,,,93,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
