,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Main Author,Year,Location,Filter,Input Body Part,Gesture,Sensors,No Additional Sensing,Number of Selected Gestures,Resolution,Hands- Free,Eyes- Free,Possible on One Ear,Adaptation of the Interaction Detection Algorithm to the Individual User,Discreetness of Interaction Techniques,Social Acceptability of Interaction Techniques,Accuracy of Interaction Recognition,Robustness of Interaction Detection,Elicitation Study,Usability Evaluations,Cognitive Ease Evaluations,Discreetness of Interactions Evaluations,Social Acceptability of Interactions Evaluations,Accuracy of Interactions Evaluation,Alternative Interaction Validity Evaluations,Evaluation of Different Conditions,Evaluations of Different Settings,Earphone Type,Development Stage,Real-Time Processing,On Device Processing,Motivations (Notes),Motivations,Intended Applications,Keywords,Abstract,DB ID,Study Link,DONE,Discreetness of Interaction Techniques - MK,Social Acceptability of Interaction Techniques - MK,Elemental Task,Degrees of Freedom,Resolution - Alt,Spatial,No. of proposed Semantic Gestures,Discrete,Continuous,Active Feedback,Theoretical Grounding of Interaction Techniques,Usability,"Device 
Appearance","Cognitive 
Ease",Multi-Gesture Detection,Composite Evaluative Score
[628],Peng,2021,Actuation,Enabling,N/A,Deformation (Actuation),N/A,N/A,1,Semantic,Yes,Yes,Yes,N/A,Medium,Medium,N/A,N/A,No,No,No,No,No,No,No,Sitting,Daily Life,Custom Device,Research Prototype,N/A,N/A,"We build on this and explore its intersection with the felds of biodata and playful expression by presenting “Wigglears”, a wearable system that will wiggle the wearer’s ears based on skin conductance, aiming to explore playful solutions towards integrated biodata-based selfexpression.; However, there is lack of research within the overlap of these areas, being integration in the form of biodatabased body augmentation, especially if aiming to support social interactions.; The question we wish to address is: How can computer systems be integrated for playful expression, and what are the social implications? We provide a proof of concept towards using body augmentation within social situations, and hope to further the research within the Human-Computer Integration paradigm with this knowledge.",,Social Interaction,"Biodata interfacing, playful expression","Human-Computer Integration is an extension of the HumanComputer Interaction paradigm that explores systems in which the boundary between user and computer is blurred. We build on this and explore its intersection with the felds of biodata and playful expression by presenting “Wigglears”, a wearable system that will wiggle the wearer’s ears based on skin conductance, aiming to explore playful solutions towards integrated biodata-based selfexpression. Through an autobiographical study, we demonstrate the system’s ability to fuel social dialogue, amplify positive emotions, and triggering refocus. We intend for our system to be a novel solution to expressing emotions within social interactions, and hope to ofer insights towards the social implications of biodatabased integration as a social cue, to help further the research within Human-Computer Integration.",70,https://doi.org/10.1145/3411763.3451846,DONE,,,,,,,,,,,,,,,,
[227],Röddiger et al.,2021,Ear and Earable,In,Tensor Tympani,Contract,Pressure Sensor,Yes,3,Semantic,Yes,Yes,Yes,No,High,High,High (N=16),Medium (N=16),No,Yes (N=8),Yes (N=16),No,No,Yes (N=16),No,"Sitting, Music",Lab,Earbud,Research Prototype,Yes,No,Input techniques using “subtle” or “motionless” input gestures are desirable in mobile contexts because they take into consideration the social context of mobile device usage; Input techniques with little to no movement avoid the inconvenience of techniques requiring large physical efort and are more socially acceptable to spectators,,"Music Player, Phone Calls","tensor tympani muscle, discreet interaction, subtle gestures, earables, hearables, in-ear barometry","We explore how discreet input can be provided using the tensor tympani - a small muscle in the middle ear that some people can voluntarily contract to induce a dull rumbling sound. We investigate the prevalence and ability to control the muscle through an online questionnaire (N=192) in which 43.2% of respondents reported the ability to “ear rumble”. Data collected from participants (N=16) shows how in-ear barometry can be used to detect voluntary tensor tympani contraction in the sealed ear canal. This data was used to train a classifer based on three simple ear rumble “gestures” which achieved 95% accuracy. Finally, we evaluate the use of ear rumbling for interaction, grounded in three manual, dual-task application scenarios (N=8). This highlights the applicability of EarRumble as a low-efort and discreet eyes- and hands-free interaction technique that users found “magical” and “almost telepathic”.",71,https://dl.acm.org/doi/10.1145/3411764.3445205,DONE,,,Selection,X,X,X,4,Yes,No,X,Present (N=83),High (N=8),Low (Derived),High (N=99),Present,73%
[221],Sun et al.,2021,Mouth,In,Teeth,Click,"Gyroscope, Microphone",Yes,13,Semantic,Yes,Yes,Yes (Performance Loss),No,High,High,Medium (N=11),N/A,No,No,No,No,No,Yes (N=11),No,Sitting,Lab,Custom Device,Research Prototype,Yes,No,"Teeth gestures become an alternative input modality for different situations and accessibility purposes. In this paper, we present TeethTap, a novel eyes-free and hands-free input technique, which can recognize up to 13 discrete teeth tapping gestures.; The vast-majority of input techniques for mobile devices demands the use of hands as an input source, which may constraints user experiences. For example, it would be inconvenient for a user to interact with a smartwatch to reject a phone call while both hands are occupied (e.g. carrying objects [25]). Therefore, providing handsfree interactions may improve the wearable interactive experiences under different situational uses and provide additional input opportunities for accessibility purposes (e.g., people with motor impairments).",,"Music Player, Accessibility, Device Control, Phone Calls, AR/VR","Teeth Gestures, Eyes-free Input, Hands-free Input, Motion Sensing, Acoustic Sensing, Earpiece","Teeth gestures become an alternative input modality for different situations and accessibility purposes. In this paper, we present TeethTap, a novel eyes-free and hands-free input technique, which can recognize up to 13 discrete teeth tapping gestures. TeethTap adopts a wearable 3D printed earpiece with an IMU sensor and a contact microphone behind both ears, which works in tandem to detect jaw movement and sound data, respectively. TeethTap uses a support vector machine to classify gestures from noise by fusing acoustic and motion data, and implements K-Nearest-Neighbor (KNN) with a Dynamic Time Warping (DTW) distance measurement using motion data for gesture classification. A user study with 11 participants demonstrated that TeethTap could recognize 13 gestures with a real-time classification accuracy of 90.9% in a laboratory environment. We further uncovered the accuracy differences on different teeth gestures when having sensors on single vs. both sides. Moreover, we explored the activation gesture under real-world environments, including eating, speaking, walking and jumping. Based on our findings, we further discussed potential applications and practical challenges of integrating TeethTap into future devices.",72,https://doi.org/10.1145/3397481.3450645,DONE,,,Selection,3,coarse (13),absolute,,Yes,No,,,,,,,
[231],Verma et al.,2021,Face,In,Facial Expression,"Facial Gesture (Eye), Facial Gesture (Nose), Facial Gesture (Mouth), Facial Gesture (Other)","Accelerometer, Gyroscope",Yes,32,Semantic,Yes,Visual Attention,Yes (Performance Loss),Yes,Low,Low,Medium (N=12),High (N=3),No,No,No,No,No,Yes (N=12),No,"Noise, Sitting, Walking, Eating, Speaking","Train, Controlled Room",Earbud,Commercial,No,No,"Traditional, vision-based facial expression recognition (FER) methods, however, are vulnerable to external factors like occlusion and lighting, while also raising privacy concerns coupled with the impractical requirement of positioning the camera in front of the user at all times. To bridge this gap, we propose ExpressEar, a novel FER system that repurposes commercial earables augmented with inertial sensors to capture fine-grained facial muscle movements.; However, most of these modalities either fail to capture fine-grained facial movements or can’t be realised in the form of a practical system due to their uncomfortable form factor. This posits a clear need for a practical wearable sensing technology, preferably in the form-factor of a familiar ubiquitous device, that can continuously and unobtrusively monitor fine-grained facial expressions while preserving the privacy of the user.",,"AR/VR, Feedback System, Emotion Recognition, Video Conference, Device Control, Device Input, Accessibility","facial expressions, FACS, earable computing, IMU sensing","Continuous and unobtrusive monitoring of facial expressions holds tremendous potential to enable compelling applications in a multitude of domains ranging from healthcare and education to interactive systems. Traditional, vision-based facial expression recognition (FER) methods, however, are vulnerable to external factors like occlusion and lighting, while also raising privacy concerns coupled with the impractical requirement of positioning the camera in front of the user at all times. To bridge this gap, we propose ExpressEar, a novel FER system that repurposes commercial earables augmented with inertial sensors to capture fine-grained facial muscle movements. Following the Facial Action Coding System (FACS), which encodes every possible expression in terms of constituent facial movements called Action Units (AUs), ExpressEar identifies facial expressions at the atomic level. We conducted a user study (N=12) to evaluate the performance of our approach and found that ExpressEar can detect and distinguish between 32 Facial AUs (including 2 variants of asymmetric AUs), with an average accuracy of 89.9% for any given user. We further quantify the performance across different mobile scenarios in presence of additional face-related activities. Our results demonstrate ExpressEar’s applicability in the real world and open up research opportunities to advance its practical adoption.",73,https://doi.org/10.1145/3478085,DONE,,,Selection,X,X,X,,Yes,No,,,,,,,
[616],Wu et al.,2021,"Face, Eye-Tracking, Mouth",Enabling,"Facial Expression, Speech Apparatus, Eye","Ekman 7, Silent Speech (Words), Horizontal Gaze, Vertical Gaze","EMG, EOG",Yes,21,Semantic,Yes,No,Yes,No,Low,Low,N/A,N/A,No,Yes (N=16),Yes (N=16),No,No,No,Yes (N=24),"Sitting, Mask, Head Movement, Time",Lab,Custom Device,Research Prototype,No,No,"In this paper, we propose the first single-earpiece lightweight biosensing system, BioFace3D, that can unobtrusively, continuously, and reliably sense the entire facial movements, track 2D facial landmarks, and further render 3D facial animations.; System Objective and Challenges. To circumvent all the limitations of existing approaches, this paper aims to provide a wearable biosensing system that can unobtrusively, continuously, and reliably sense the entire facial movements, track 2D facial landmarks, and further render 3D facial animations through fitting a 3D head model to the 2D facial landmarks. Although existing studies (e.g., [41, 58]) have shown the success of using biosensors, such as EMG and electrooculography (EOG), to detect facial muscle activities and eye movements, realizing such a system is still very challengin",,"Emotion Recognition, Accessibility, AR/VR, Feedback System, Driving, Silent Speech, Device Control","mobile computing, wearable sensing, 3D facial reconstruction, singleear biosensing","Over the last decade, facial landmark tracking and 3D reconstruction have gained considerable attention due to their numerous applications such as human-computer interactions, facial expression analysis, and emotion recognition, etc. Traditional approaches require users to be confined to a particular location and face a camera under constrained recording conditions (e.g., without occlusions and under good lighting conditions). This highly restricted setting prevents them from being deployed in many application scenarios involving human motions. In this paper, we propose the first single-earpiece lightweight biosensing system, BioFace3D, that can unobtrusively, continuously, and reliably sense the entire facial movements, track 2D facial landmarks, and further render 3D facial animations. Our single-earpiece biosensing system takes advantage of the cross-modal transfer learning model to transfer the knowledge embodied in a high-grade visual facial landmark detection model to the low-grade biosignal domain. After training, our BioFace-3D can directly perform continuous 3D facial reconstruction from the biosignals, without any visual input. Without requiring a camera positioned in front of the user, this paradigm shift from visual sensing to biosensing would introduce new opportunities in many emerging mobile and IoT applications. Extensive experiments involving 16 participants under various settings demonstrate that BioFace-3D can accurately track 53 major facial landmarks with only 1.85 mm average error and 3.38% normalized mean error, which is comparable with most state-of-the-art camerabased solutions. The rendered 3D facial animations, which are in consistency with the real human facial movements, also validate the system’s capability in continuous 3D facial reconstruction.",74,https://doi.org/10.1145/3447993.3483252,DONE,,,,,,,,,,,,,,,,
[608],Alkiek et al.,2022,Hand Gestures and Location,In,Hand,"Approach (Mid-Air), Slide (Mid-Air), Recede (Mid-Air)",Bluetooth,Yes,8,Semantic,No,Yes,Yes,No,Low,Low,High (N=1),High (N=1),No,No,No,No,No,Yes (N=1),No,"Distance, Orientation, Sitting, Standing","Office, Living Room",Earbud,Research Prototype,Yes,No,"However, the limited interface of these devices, usually being a single button or force-sensor, inhibits their potential. Earables can provide a much richer experience by extending the ways in which users can interact with them. In this paper, we present EarGest, a novel earable-based hand gesture recognition system that does not require calibration or training, and works with commercially available BLE-enabled earphones and devices.; Our proposed system is unique in its ability to leverage Bluetooth to detect hand motion near the ear to recognize gestures. By harnessing information from BLE connections between the wireless earphones and a host device, we accurately detect and classify different hand gestures performed by users, while also determining discrete levels of hand speed.",,"Device Control, Music Player, Phone Calls","Earables, gesture recognition, HCI; sensing","Earables have been increasingly gaining attention from consumers and manufacturers alike due to their small footprint, ease of use, and the added accessibility they bring. However, the limited interface of these devices, usually being a single button or force-sensor, inhibits their potential. Earables can provide a much richer experience by extending the ways in which users can interact with them. In this paper, we present EarGest, a novel earable-based hand gesture recognition system that does not require calibration or training, and works with commercially available BLE-enabled earphones and devices. Our proposed system is unique in its ability to leverage Bluetooth to detect hand motion near the ear to recognize gestures. By harnessing information from BLE connections between the wireless earphones and a host device, we accurately detect and classify different hand gestures performed by users, while also determining discrete levels of hand speed. EarGest operates without interfering with the regular functionality of the earphones and introduces minimal energy overhead on the host device. We implement a prototype of the system using eSense, a multi-sensory earable platform, and evaluate it in different scenarios and settings. Results show that our system can detect and classify seven near-ear hand gestures with an accuracy up to 98.5%, as well as identify hand motion speed with 96% accuracy.",75,https://ieeexplore.ieee.org/abstract/document/9918622,DONE,,,"Selection, Path",3,X,relative,8,Yes,No,X,Not Present,Not Indicated,High (Derived),Not Indicated,Present,48%
[614],Bi & Liu,2022,Head Gestures and Pointing,In,Head,"Pitch, Roll, Yaw",Accelerometer,Yes,12,Semantic,Yes,Yes,No,Yes,Medium,High,Medium (N=30),High,No,No,No,No,No,Yes (N=30),No,"Walking, Slope, Sitting, Ground Material, Speed",Lab,Earbud,Commercial,No,No,"However, head immobility for a long time has led to the emergence of “phubbers” and “office workers,” which sounds an alarm for people’s health, such as neck pain [1]. Immersing yourself in interaction with mobile phones during walking is also an important cause of traffic accidents [2]. Fortunately, the development of the Internet of Healthcare Things (IoHT) has brought new hope",,"Health, Safety","Earphones, head gesture, Internet of Healthcare Things (IoHT), metalearning","With the popularity of personal computing devices, people often keep long-term head immobility in front of screens, resulting in the emergence of “phubbers” and “office workers.” The early warning solutions in the Internet of Healthcare Things (IoHT) have brought hope to protect users’ health and safety. However, most existing works cannot recognize the different head gestures during walking, which is also a common cause of text neck and traffic accidents. In addition, they also need a large amount of data to update the model to adapt to the new environment, which reduces the practicality of the model. To solve these problems, we propose a system, CSEar, based on builtin accelerometers of off-the-shelf wireless earphones, which can recognize 12 kinds of head gestures both in resting and walking states. First, an innovative algorithm is designed to detect head gesture signals, especially for the signals mixed with gait. Then, we propose the MetaSensing, a head gesture recognition model that can improve the recognition ability with few samples compared with the existing metalearning algorithms. Finally, the experimental results prove the effectiveness and robustness of the CSEar.",76,https://ieeexplore.ieee.org/document/9815053,DONE,,,"Selection, Path, Orientation",3,X,relative,12,Yes,No,X,Partly Present,Not Indicated,High (Derived),Not Indicated,Present,43%
[452],Bi et al.,2022,Ear and Earable,In,Hand,Tap (Earable),Accelerometer,Yes,1,Semantic,No,Yes,Yes,No,Medium,High,N/A,N/A,No,No,No,No,No,No,Yes (N=20),"Sitting, Standing","Lab, Train",Earbud,Commercial,No,No,"However, some of the earphone-based authentication solutions need to customize special earphones, which are not universal.; To solve this problem, a new authentication solution based on the existing commercial earphones is proposed to authenticate a user by tapping on the earphone rhythmically.; Therefore, the security and privacy problem in ICWSN is becoming increasingly serious",,Authentification,"Accelerometer, earphone, tap gesture, user authentication","The rapid development of the information-centric wireless sensor network (ICWSN) has solved the challenges of information transmission and processing caused by the accelerated growth of wearable devices and the wide deployment of the Internet of Things (IoT) recently. The privacy security is also a growing problem. The existing works use earphones, covert, and user-friendly wearable devices, for user authentication. However, some of the earphone-based authentication solutions need to customize special earphones, which are not universal. Other solutions use microphones and speakers of earphones for authentication, which are susceptible to changes in the auricle’s internal environment, resulting in a decline in performance. To solve this problem, a new authentication solution based on the existing commercial earphones is proposed to authenticate a user by tapping on the earphone rhythmically. This rhythmic tap behavior causes a change of the signal waveform of the built-in accelerometer in the earphone. Based on this, we design a pipeline to authenticate the user’s identity. We first design an event detection algorithm to segment the tap signal accurately. Then, we use the global features calculated based on the event detection algorithm and local features extracted from the convolutional neural network (CNN) for building an authentication model using the Naive Bayes (NB) classifier. Finally, 20 users are recruited to evaluate the experiment and the recognition accuracy reaches 98%. Moreover, we extend the experiment to prove that it has a good performance against the different attacks and is robust in different scenarios.",77,https://ieeexplore.ieee.org/document/9367286,DONE,,,X,X,X,X,1,Yes,No,X,Present (N=3),Not Indicated,High (Derived),Not Indicated,Not Indicated,25%
[345],Choi et al.,2022,Face,In,Facial Expression,Ekman 7,"Accelerometer, PPG",Yes,7,Semantic,Yes,Visual Attention,Yes,No,Low,Low,Medium (N=20),Medium (N=5),No,Yes (N=11),No,No,No,Yes (N=20),No,"Head Movement, Sitting, Standing, Hand Motion, Walking, Mask, Wearing Styles",Lab,Custom Device,Research Prototype,No,No,"To this end, we propose PPGface, a ubiquitous, easy-to-use, user-friendly facial expression recognition platform that leverages earable devices with built-in PPG sensor. PPGface understands the facial expressions through the dynamic PPG patterns resulting from facial muscle movements. With the aid of the accelerometer sensor, PPGface can detect and recognize the user’s seven universal facial expressions and relevant body posture unobtrusively.",,"Customer Analytics, Accessibility, Device Control","Photoplethysmogram, PPG, Facial Expression, Ear Canal, Blood Vessel Deformation","Recognition of facial expressions has been widely explored to represent people’s emotional states. Existing facial expression recognition systems primarily rely on external cameras which make it less accessible and efficient in many real-life scenarios to monitor an individual’s facial expression in a convenient and unobtrusive manner. To this end, we propose PPGface, a ubiquitous, easy-to-use, user-friendly facial expression recognition platform that leverages earable devices with built-in PPG sensor. PPGface understands the facial expressions through the dynamic PPG patterns resulting from facial muscle movements. With the aid of the accelerometer sensor, PPGface can detect and recognize the user’s seven universal facial expressions and relevant body posture unobtrusively. We conducted an user study (N=20) using multimodal ResNet to evaluate the performance of PPGface, and showed that PPGface can detect different facial expressions with 93.5 accuracy and 0.93 f1-score. In addition, to explore the robustness and usability of our proposed platform, we conducted several comprehensive experiments under real-world settings. Overall results of this work validate a great potential to be employed in future commodity earable devices.",78,https://doi.org/10.1145/3534597,DONE,,,Selection,X,X,X,,Yes,No,,,,,,,
[627],Futami et al,2022,Face,In,Facial Expression,"Facial Gesture (Mouth), Facial Gesture (Eye)",Proximity Sensor,Yes,8,Semantic,Yes,Visual Attention,Yes,No,Low,Low,High (N=10),N/A,No,No,No,No,No,Yes (N=10),No,Sitting,Lab,Custom Device,Research Prototype,No,No,"Although many previous studies use canal-type earphones, few studies focused on the following two points: (1) A method applicable to ear accessories other than canal-type earphones. (2) A method enabling various ear accessories with different styles to have the same hands-free input function. To realize these two points, this study proposes a method to recognize the user’s facial gesture using an infrared distance sensor attached to the ear accessory. The proposed method detects skin movement around the ear and face, which differs for each facial expression gesture.; Although there have been many studies on hands-free input methods using canal-type earphones, few have focused on the following two points. (1) Hands-free input methods that can be applied to ear accessories other than canal-type earphones for presenting sound information and (2) Hands-free input methods that can apply similar input methods to different ear accessories.",,"Device Input, Music Player","ear accessories, infrared distance sensor, photo reflector, skin movement, facial gesture recognition, hands-free input interface, earable","Simple hands-free input methods using ear accessories have been proposed to broaden the range of scenarios in which information devices can be operated without hands. Although many previous studies use canal-type earphones, few studies focused on the following two points: (1) A method applicable to ear accessories other than canal-type earphones. (2) A method enabling various ear accessories with different styles to have the same hands-free input function. To realize these two points, this study proposes a method to recognize the user’s facial gesture using an infrared distance sensor attached to the ear accessory. The proposed method detects skin movement around the ear and face, which differs for each facial expression gesture. We created a prototype system for three ear accessories for the root of the ear, earlobe, and tragus. The evaluation results for nine gestures and 10 subjects showed that the F-value of each device was 0.95 or more, and the F-value of the pattern combining multiple devices was 0.99 or more, which showed the feasibility of the proposed method. Although many ear accessories could not interact with information devices, our findings enable various ear accessories with different styles to have eye-free and hands-free input ability based on facial gestures.",79,https://doi.org/10.3390/electronics11091480,DONE,,,Selection,X,X,relative,,Yes,No,,,,,,,
[315],Jin et al.,2022,"Mouth, Head Gestures and Pointing",In,"Speech Apparatus, Head","Silent Speech (Words), Silent Speech (Sentences), Yaw, Pitch","Microphone, Speaker, Accelerometer",Yes,59,Semantic,Yes,Yes,No,Yes,High,High,N/A,N/A,No,No,No,No,No,No,Yes (N=12),"Sitting, Noise, Standing, Head Movement, Walking, Mask, Wearing Styles",Lab,Earbud,Research Prototype,Yes,No,"To overcome all these challenges in voice/speech interaction, we propose a new earphone-based silent speech interaction method, named “EarCommand.” EarCommand utilizes the inward-facing speaker to emit near-ultrasound signals to propagate within the ear canal, and then the inward-facing microphone receives reflected echos. By analyzing the channel response feature patterns which caused by the changing ear canal deformations during the (silent) speech, EarCommand can recognize and interpret users’ speech as shown in Fig. 1.",,"Device Control, Silent Speech, Privacy","Acoustic sensing, Earphone, Silent Speech, Ear Canal Deformation","Intelligent speech interfaces have been developing vastly to support the growing demands for convenient control and interaction with wearable/earable and portable devices. To avoid privacy leakage during speech interactions and strengthen the resistance to ambient noise, silent speech interfaces have been widely explored to enable people’s interaction with mobile/wearable devices without audible sounds. However, most existing silent speech solutions require either restricted background illuminations or hand involvement to hold device or perform gestures. In this study, we propose a novel earphonebased, hand-free silent speech interaction approach, named EarCommand. Our technique discovers the relationship between the deformation of the ear canal and the movements of the articulator and takes advantage of this link to recognize different silent speech commands. Our system can achieve a WER (word error rate) of 10.02% for word-level recognition and 12.33% for sentence-level recognition, when tested in human subjects with 32 word-level commands and 25 sentence-level commands, which indicates the effectiveness of inferring silent speech commands. Moreover, EarCommand shows high reliability and robustness in a variety of configuration settings and environmental conditions. It is anticipated that EarCommand can serve as an efficient, intelligent speech interface for hand-free operation, which could significantly improve the quality and convenience of interactions.",80,https://doi.org/10.1145/3534613,DONE,,,Selection,X,X,X,,Yes,No,,,,,,,
[278],Li et al.,2022,Face,In,Facial Expression,"Facial Gesture (Mouth), Facial Gesture (Eye), Smile","Microphone, Speaker",Yes,9,Semantic,Yes,Visual Attention,No,Yes,Low,Medium,N/A,N/A,No,Yes (N=16),No,No,No,No,Yes (N=12),"Sitting, Walking, Wearing Styles, Noise, Speaking","Lab, Outdoors",Custom Device,Research Prototype,No,No,"We present EarIO, the first very low-power and minimally-obtrusive active-acoustic sensing technology, that uses the machine learning method to continuously infer detailed full facial movements from the subtle skin deformations. Our technology only requires one speaker and one microphone on each side of the earable, which are widely available on many modern earphones (e.g., Apple PowerBeats Pro1). The speaker on each earable emits encoded acoustic signals (Frequency-Modulated Continuous-Wave, FMCW) towards the user’s face. These acoustic signals are reflected differently to a microphone based on the skin deformation associated with different facial movements. The received acoustic signals are first decoded and processed to extract the echo profiles around the face, which are then learned by a customized deep learning model to estimate the full facial expressions.",,Data Annotation,"Facial expression reconstruction, Acoustic sensing, Low-power, Deep learning","This paper presents EarIO, an AI-powered acoustic sensing technology that allows an earable (e.g., earphone) to continuously track facial expressions using two pairs of microphone and speaker (one on each side), which are widely available in commodity earphones. It emits acoustic signals from a speaker on an earable towards the face. Depending on facial expressions, the muscles, tissues, and skin around the ear would deform differently, resulting in unique echo profiles in the reflected signals captured by an on-device microphone. These received acoustic signals are processed and learned by a customized deep learning pipeline to continuously infer the full facial expressions represented by 52 parameters captured using a TruthDepth camera. Compared to similar technologies, it has significantly lower power consumption, as it can sample at 86 Hz with a power signature of 154 mW. A user study with 16 participants under three different scenarios, showed that EarIO can reliably estimate the detailed facial movements when the participants were sitting, walking or after remounting the device. Based on the encouraging results, we further discuss the potential opportunities and challenges on applying EarIO on future ear-mounted wearables.",81,https://doi.org/10.1145/3534621,DONE,,,Selection,X,X,X,,Yes,No,,,,,,,
[612],Grübler & Suzuki,2010,Face,Out,,"Smile, Facial Gesture (Other)",EMG,,2,,,,,,,,,,,,,,,,,,,,,,,"In this paper we present a quantitative analysis of electrode positions on the side of the face for facial expression recognition using facial bioelectrical signals. We show that distal electrode locations on areas of low facial mobility have a strong amplitude and are correlated to signals captured in the traditional positions on top of the facial muscles. We report on electrode position choice as well successful facial expression identification using computational methods.; Then we show the classification rates on the proposed location using computational methods and finally we show the designed unobtrusive wearable interface device, the Emotion Reader, which can recognize the subject’s facial expressions while being unobtrusive to the user because of its location away from the front of the face and record them for facial expression evaluation. The Emotion Reader is able to work in any environment regardless of changing lighting conditions and position of the subject.",,Emotion Recognition,N/A,In this paper we present a quantitative analysis of electrode positions on the side of the face for facial expression recognition using facial bioelectrical signals. We show that distal electrode locations on areas of low facial mobility have a strong amplitude and are correlated to signals captured in the traditional positions on top of the facial muscles. We report on electrode position choice as well successful facial expression identification using computational methods. We also propose a wearable interface device that can detect facial bioelectrical signals distally in a continuous manner while being unobtrusive to the user. The proposed device can be worn on the side of the face and capture signals that are considered to be a mixture of facial electromyographic signals and other bioelectrical signals. Finally we show the design of an interface that can be comfortably worn by the user and makes facial expression recognition possible.,9,https://ieeexplore.ieee.org/abstract/document/5626504,,,,,,,,,,,,,,,,,
[512],Song et al.,2022,Face,In,Facial Expression,Ekman 7,"Microphone, Speaker",Yes,6,Semantic,Yes,Visual Attention,No,No,Low,Low,Low (N=5),High (N=5),No,No,No,No,No,Yes (N=5),Yes (N=5),"Sitting, Device, Music, Movie, Walking, Speaking, Skin Condition","Lab, Outdoors","Headphone, Earbud",Commercial,No,No,"In this paper, we present FaceListener, a new sensing system that recognizes human facial expressions by only using commodity headphones. The basic idea of FaceListener is to transform the commodity headphone into an acoustic sensing device, which captures the face skin deformations caused by facial muscle movements with different facial expressions.; In this paper, we aim to address the aforementioned limitations and instead propose FaceListener, a new sensing system that achieves precise and reliable recognition of human facial expressions by only using commodity headphones.",,"AR/VR, Device Control, Customer Analytics","Human Facial Expressions, Acoustic Sensing, Headphone, Face Skin Deformation, Knowledge Distillation","Facial expressions are important indicators of user needs that can be used in many interactive computing applications to adapt the system behaviors and settings. Current computing approaches to recognizing human facial expressions, however, either rely on continuous camera recordings that are energy consuming, or require custom sensing hardware that are expensive and difficult to use on commodity systems. In this paper, we present FaceListener, a new sensing system that recognizes human facial expressions by only using commodity headphones. The basic idea of FaceListener is to transform the commodity headphone into an acoustic sensing device, which captures the face skin deformations caused by facial muscle movements with different facial expressions. To ensure the recognition accuracy, FaceListener leverages the knowledge distillation technique to learn the subtle correlation between face skin deformation and the acoustic signal changes. Experiment results over multiple human beings demonstrate that FaceListener can accurately recognize more than 80% of different facial expressions. FaceListener is highly energy efficient, and can well adapt to different headphone models, host systems and user activities.",82,https://ieeexplore.ieee.org/document/9825944/,DONE,,,Selection,X,X,X,,Yes,No,,,,,,,
[296],Rateau et al.,2022,"Ear and Earable, Hand Gestures and Location",Elicitation,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes (N=20),No,No,No,Yes (N=50),No,No,Sitting,Remote Setting,Earbud,Commercial,N/A,N/A,"The specific example we explore in this paper combines smart earbuds with a proximal smartwatch to support input specifically geared toward smartwatch and smartwatch-earbud interactions.; it becomes necessary to increase the set of gestures to include control of multiple wearable devices.; interactions with multiple smart devices may result in different gestures and the social acceptability of these gestures may vary.; when users are aware of the fact that multiple personal devices can sense input, it may be advisable to adapt gesture design.",,"Phone Calls, Music Player, Device Control, Device Input, Communication","elicitation study, smartwatch, earbuds, wearables","Due to the proliferation of smart wearables, it is now the case that designers can explore novel ways that devices can be used in combination by end-users. In this paper, we explore the gestural input enabled by the combination of smart earbuds coupled with a proximal smartwatch. We identify a consensus set of gestures and a taxonomy of the types of gestures participants create through an elicitation study. In a follow-on study conducted on Amazon’s Mechanical Turk, we explore the social acceptability of gestures enabled by watch+earbud gesture capture. While elicited gestures continue to be simple, discrete, in-context actions, we find that elicited input is frequently abstract, varies in size and duration, and is split almost equally between on-body, proximal, and more distant actions. Together, our results provide guidelines for on-body, near-ear, and in-air input using earbuds and a smartwatch to support gesture capture.",83,https://dl.acm.org/doi/10.1145/3567710,DONE,,,,,,,,,,,,,,,,
